Compressive strength of cement fce(MPa),Tensile strength of cement fct(MPa),Curing age (day),Dmax of Crushed stone (mm),Stone powder content in Sand (%),Fineness modulus of sand,W/B,Water to cement ratio mw/mc,Water (kg/m3),Sand ratio (%),Slump (mm),"Compressive strength
fcu,t
(MPa)","Splitting tensile strength fst,t(MPa)"
47.7,8.7,28,25,5,3.19,0.32,0.32,170,30,11,71.6,4.1
47.7,8.7,28,25,7,3.19,0.32,0.32,170,30,13,74.7,4.34
47.7,8.7,28,25,10,3.19,0.32,0.32,170,30,35,69.8,3.9
47.7,8.7,28,25,13,3.19,0.32,0.32,170,30,20,69.8,4.37
47.7,8.7,28,25,16,3.19,0.32,0.32,170,30,18,70.1,4.2
47.7,8.7,28,25,5,3.19,0.44,0.44,180,32,85,57,3.68
47.7,8.7,28,25,7,3.19,0.44,0.44,180,32,108,59.6,3.91
47.7,8.7,28,25,10,3.19,0.44,0.44,180,32,75,56.7,4.11
47.7,8.7,28,25,13,3.19,0.44,0.44,180,32,80,57,3.42
47.7,8.7,28,25,16,3.19,0.44,0.44,180,32,60,56.2,2.86
46.3,8.4,28,25,5,3.19,0.56,0.56,170,42,135,42.9,3.34
46.3,8.4,28,25,9,3.19,0.56,0.56,170,42,80,43.8,3.31
46.3,8.4,28,25,13,3.19,0.56,0.56,170,42,50,43.9,2.76
46.3,8.4,28,25,5,3.19,0.45,0.45,185,34,70,48.7,3.11
46.3,8.4,28,25,9,3.19,0.45,0.45,185,34,160,50.1,3.51
46.3,8.4,28,25,13,3.19,0.45,0.45,185,34,100,56.3,4.61
46.3,8.4,28,25,5,3.19,0.4,0.4,190,32,150,55.6,4.19
46.3,8.4,28,25,9,3.19,0.4,0.4,190,32,170,60.7,4.33
46.3,8.4,28,25,13,3.19,0.4,0.4,190,32,175,57.2,2.45
46.3,8.4,28,25,5,3.19,0.32,0.32,175,28,50,70.9,3.95
46.3,8.4,28,25,9,3.19,0.32,0.32,175,28,110,68.1,4.23
46.3,8.4,28,25,13,3.19,0.32,0.32,175,28,100,66.7,5.45
38.2,6.9,28,26.5,3,3.23,0.47,0.47,190,36,12,40.3,3.32
38.2,6.9,28,26.5,7,3.23,0.47,0.47,190,36,19,38.7,3.14
38.2,6.9,28,26.5,13,3.23,0.47,0.47,190,36,15,40.7,2.96
47.7,8.7,28,26.5,3,3.23,0.44,0.44,180,32,75,50.4,3.65
47.7,8.7,28,26.5,7,3.23,0.44,0.44,180,32,83,50.3,3.88
47.7,8.7,28,26.5,13,3.23,0.44,0.44,180,32,60,55.4,4.08
47.7,8.7,28,26.5,3,3.23,0.32,0.32,170,30,11,62.6,4.57
47.7,8.7,28,26.5,7,3.23,0.32,0.32,170,30,15,63.1,5.16
47.7,8.7,28,26.5,13,3.23,0.32,0.32,170,30,18,59.9,5.32
48.2,8.4,28,26.5,5,3.23,0.55,0.55,160,38,115,43.4,2.96
48.2,8.4,28,26.5,9,3.23,0.55,0.55,160,38,125,44.2,3.45
48.2,8.4,28,26.5,13,3.23,0.55,0.55,160,38,22,43.2,3.2
48.2,8.4,28,26.5,5,3.23,0.44,0.44,170,34,30,55,3.3
48.2,8.4,28,26.5,9,3.23,0.44,0.44,170,34,135,52.4,3.47
48.2,8.4,28,26.5,13,3.23,0.44,0.44,170,34,90,53.5,3.18
48.2,8.4,28,26.5,5,3.23,0.36,0.36,170,32,95,59.9,3.51
48.2,8.4,28,26.5,9,3.23,0.36,0.36,170,32,85,57.2,5.24
48.2,8.4,28,26.5,13,3.23,0.36,0.36,170,32,70,59.6,4.53
48.2,8.4,28,26.5,5,3.23,0.31,0.31,170,30,35,68.2,3.62
48.2,8.4,28,26.5,9,3.23,0.31,0.31,170,30,20,68.3,3.99
48.2,8.4,28,26.5,13,3.23,0.31,0.31,170,30,25,66,4.36
46.3,8.4,28,26.5,6.75,3.19,0.56,0.56,170,42,,39.2,3.47
46.3,8.4,28,26.5,6.75,3.19,0.44,0.44,180,32,,50.1,3.77
46.3,8.4,28,26.5,6.75,3.19,0.32,0.32,170,28,,59.1,4.31
48.3,7.4,28,25,7.5,2.9,0.51,1.01,222,45,,57,2.87
,,28,30,4.3,3,0.25,0.33,150,41,,74.4,5.41
,,60,30,4.3,3,0.25,0.33,150,41,,84.5,6.37
,,90,30,4.3,3,0.25,0.33,150,41,,94.1,6.5
,,120,30,4.3,3,0.25,0.33,150,41,,100.5,6.65
,,28,31.5,5.8,3.1,0.42,0.42,185,36,36,38.3,3.04
,,28,31.5,5.8,3.1,0.44,0.44,185,36,40,36.2,2.75
,,28,31.5,5.8,3.1,0.46,0.46,185,36,43,34.2,2.6
,,28,31.5,5.8,3.1,0.42,0.42,185,32,25,35.9,2.42
,,28,31.5,5.8,3.1,0.42,0.42,185,40,40,37.3,3.24
,,28,,,,0.45,0.45,180,39,205,47.4,4.98
,,28,,,,0.5,0.5,180,39,205,45.3,4.68
,,28,,,,0.55,0.55,180,40,200,41.7,4.5
,,28,,4.3,2.86,,,,,,35.8,1.63
,,28,,7.5,3.04,,,,,,36.5,1.77
,,28,,10.8,2.76,,,,,,37.8,1.84
,,28,,19.2,2.35,,,,,,34.3,1.72
35.5,7.2,28,30,14.2,2.2,0.57,0.57,178,35,20,27.9,1.97
35.5,7.2,28,30,14.2,2.2,0.64,0.64,178,35,20,24.7,2.05
35.5,7.2,28,30,14.2,2.2,0.69,0.69,178,35,20,22.8,2.11
,,28,20,13,3.55,0.59,0.59,203,40,70,43.1,2.65
,,28,20,7.8,3.55,0.63,0.63,241,40,140,38.9,2.18
,,28,20,16.3,3.55,0.56,0.56,185,39,100,39,2.87
,,28,20,11.3,3.55,0.47,0.47,196,43,60,49,2.19
63.4,10.2,28,16,3,3.5,0.25,0.48,150,37,240,94.3,6.2
63.4,10.2,28,16,5,3.5,0.25,0.48,150,37,225,94.6,6.4
63.4,10.2,28,16,7,3.5,0.25,0.48,150,37,220,96.3,5.4
63.4,10.2,28,16,10,3.5,0.25,0.48,150,37,180,91,5.6
55.6,8.91,1,20,19.4,2.8,0.28,0.4,180,45,,4.23,0.6
55.6,8.91,3,20,19.4,2.8,0.28,0.4,180,45,,14.9,1.35
55.6,8.91,7,20,19.4,2.8,0.28,0.4,180,45,,28.3,2.24
55.6,8.91,14,20,19.4,2.8,0.28,0.4,180,45,,40.9,3.01
55.6,8.91,28,20,19.4,2.8,0.28,0.4,180,45,,50.8,3.64
55.6,8.91,60,20,19.4,2.8,0.28,0.4,180,45,,59.5,4.32
55.6,8.91,90,20,19.4,2.8,0.28,0.4,180,45,,65.4,4.43
,,28,40,7.1,,0.45,0.56,109,36,85,24.8,1.98
,,28,40,9.1,,0.45,0.56,111,36,86,28.1,2.23
,,28,40,11.2,,0.45,0.56,113,36,83,29.8,2.41
,,28,40,13.3,,0.45,0.56,116,36,85,31.5,2.47
,,28,40,15.5,,0.45,0.56,119,36,90,34,2.65
,,28,40,17.8,,0.45,0.56,122,36,88,33.2,2.68
,,28,40,20,,0.45,0.56,124,36,87,32.8,2.54
,,28,40,22.1,,0.45,0.56,126,36,85,31.6,2.37
,,28,40,7.1,,0.45,0.56,129,42,171,24.1,2.01
,,28,40,9.1,,0.45,0.56,131,42,177,27.5,2.36
,,28,40,11.2,,0.45,0.56,133,42,182,29,2.37
,,28,40,13.3,,0.45,0.56,136,42,176,30.9,2.41
,,28,40,15.5,,0.45,0.56,139,42,175,33.7,2.47
,,28,40,17.8,,0.45,0.56,142,42,179,32.4,2.56
,,28,40,20,,0.45,0.56,144,42,180,31.2,2.52
,,28,40,22.1,,0.45,0.56,146,42,173,30.9,2.41
,,7,40,6,,0.36,0.48,126,35,50,24.6,1.95
,,7,40,9,,0.36,0.48,128,34,45,25.3,2.25
,,7,40,12,,0.36,0.48,130,34,60,25,2.09
,,7,40,15,,0.36,0.48,131,33,55,24.8,1.97
,,7,40,18,,0.36,0.48,135,33,60,26.1,2.29
,,28,40,6,,0.36,0.48,126,35,50,40.1,3.13
,,28,40,9,,0.36,0.48,128,34,45,41.8,2.88
,,28,40,12,,0.36,0.48,130,34,60,41.4,3.03
,,28,40,15,,0.36,0.48,131,33,55,41.3,3.21
,,28,40,18,,0.36,0.48,135,33,60,41.1,3.07
,,90,40,6,,0.36,0.48,126,35,50,55.1,3.82
,,90,40,9,,0.36,0.48,128,34,45,56.1,3.9
,,90,40,12,,0.36,0.48,130,34,60,51,3.79
,,90,40,15,,0.36,0.48,131,33,55,51.5,3.77
,,90,40,18,,0.36,0.48,135,33,60,53.2,4.12
,,180,40,6,,0.36,0.48,126,35,50,54.8,3.97
,,180,40,9,,0.36,0.48,128,34,45,61.6,4.45
,,180,40,12,,0.36,0.48,130,34,60,54.6,4.51
,,180,40,15,,0.36,0.48,131,33,55,54.8,4.02
,,180,40,18,,0.36,0.48,135,33,60,58.8,4.5
52.5,8.8,3,20,5.4,3.11,0.37,0.44,166,44,185,19,1.6
52.5,8.8,7,20,5.4,3.11,0.37,0.44,166,44,185,31.5,2.4
52.5,8.8,28,20,5.4,3.11,0.37,0.44,166,44,185,45.8,2.6
52.5,8.8,56,20,5.4,3.11,0.37,0.44,166,44,185,53,3.6
52.5,8.8,3,20,5.4,3.11,0.34,0.34,158,42,105,48.2,3.6
52.5,8.8,7,20,5.4,3.11,0.34,0.34,158,42,105,56.6,3.8
52.5,8.8,28,20,5.4,3.11,0.34,0.34,158,42,105,69.1,4
52.5,8.8,56,20,5.4,3.11,0.34,0.34,158,42,105,69.4,4.4
52.7,9,3,31.5,6.6,2.94,0.42,0.42,185,36,35,23.4,2.03
52.7,9,28,31.5,6.6,2.94,0.42,0.42,185,36,35,35.6,3.04
52.7,9,3,31.5,6.6,2.94,0.44,0.44,185,36,41,23.7,1.93
52.7,9,28,31.5,6.6,2.94,0.44,0.44,185,36,41,32.2,2.74
52.7,9,3,31.5,6.6,2.94,0.46,0.46,185,36,42,22.5,2.09
52.7,9,28,31.5,6.6,2.94,0.46,0.46,185,36,42,34.2,2.59
52.7,9,3,31.5,6.6,2.94,0.42,0.42,185,32,25,23.6,1.69
52.7,9,28,31.5,6.6,2.94,0.42,0.42,185,32,25,35.8,2.43
52.7,9,3,31.5,6.6,2.94,0.44,0.44,185,34,33,25.2,1.52
52.7,9,28,31.5,6.6,2.94,0.44,0.44,185,34,33,38.3,2.6
52.7,9,3,31.5,6.6,2.94,0.46,0.46,185,36,40,23.3,1.8
52.7,9,28,31.5,6.6,2.94,0.46,0.46,185,36,40,37.2,3.24
43.7,7.5,3,25,0.4,2.3,0.3,0.425,153,41,220,46.3,3.04
43.7,7.5,7,25,0.4,2.3,0.3,0.425,153,41,220,58.5,3.53
43.7,7.5,28,25,0.4,2.3,0.3,0.425,153,41,220,72.7,4.15
43.7,7.5,60,25,0.4,2.3,0.3,0.425,153,41,220,76.8,4.59
43.7,7.5,90,25,0.4,2.3,0.3,0.425,153,41,220,80.8,4.82
43.7,7.5,120,25,0.4,2.3,0.3,0.425,153,41,220,83.8,5.03
43.7,7.5,180,25,0.4,2.3,0.3,0.425,153,41,220,84.6,5.07
43.7,7.5,365,25,0.4,2.3,0.3,0.425,153,41,220,87.2,5.14
43.7,7.5,3,25,2.3,3.1,0.3,0.428,152,38,210,46.2,3.19
43.7,7.5,7,25,2.3,3.1,0.3,0.428,152,38,210,56.9,3.58
43.7,7.5,28,25,2.3,3.1,0.3,0.428,152,38,210,74.5,4.36
43.7,7.5,60,25,2.3,3.1,0.3,0.428,152,38,210,79.3,4.65
43.7,7.5,90,25,2.3,3.1,0.3,0.428,152,38,210,81.3,4.89
43.7,7.5,120,25,2.3,3.1,0.3,0.428,152,38,210,82.6,4.99
43.7,7.5,180,25,2.3,3.1,0.3,0.428,152,38,210,83.5,5.05
43.7,7.5,365,25,2.3,3.1,0.3,0.428,152,38,210,85.2,5.17
43.7,7.5,3,25,,3.1,0.3,0.428,152,38,215,48.5,3.24
43.7,7.5,7,25,,3.1,0.3,0.428,152,38,215,60.4,3.8
43.7,7.5,28,25,,3.1,0.3,0.428,152,38,215,75.9,4.49
43.7,7.5,60,25,,3.1,0.3,0.428,152,38,215,82.1,4.78
43.7,7.5,90,25,,3.1,0.3,0.428,152,38,215,84.2,4.92
43.7,7.5,120,25,,3.1,0.3,0.428,152,38,215,86.1,5.05
43.7,7.5,180,25,,3.1,0.3,0.428,152,38,215,88.6,5.18
43.7,7.5,365,25,,3.1,0.3,0.428,152,38,215,90.7,5.39
43.7,7.5,3,25,6.3,3.1,0.3,0.428,152,38,202,50.7,3.42
43.7,7.5,7,25,6.3,3.1,0.3,0.428,152,38,202,61,3.9
43.7,7.5,28,25,6.3,3.1,0.3,0.428,152,38,202,79.5,4.73
43.7,7.5,60,25,6.3,3.1,0.3,0.428,152,38,202,85.4,5.05
43.7,7.5,90,25,6.3,3.1,0.3,0.428,152,38,202,87.3,5.18
43.7,7.5,120,25,6.3,3.1,0.3,0.428,152,38,202,88.5,5.24
43.7,7.5,180,25,6.3,3.1,0.3,0.428,152,38,202,90.2,5.32
43.7,7.5,365,25,6.3,3.1,0.3,0.428,152,38,202,92.2,5.48
43.7,7.5,3,25,,3.1,0.3,0.3,152,38,205,58.7,3.54
43.7,7.5,7,25,,3.1,0.3,0.3,152,38,205,66.7,3.98
43.7,7.5,28,25,,3.1,0.3,0.3,152,38,205,78.8,4.61
43.7,7.5,60,25,,3.1,0.3,0.3,152,38,205,84.1,4.97
43.7,7.5,90,25,,3.1,0.3,0.3,152,38,205,86.2,5.15
43.7,7.5,120,25,,3.1,0.3,0.3,152,38,205,86.9,5.19
43.7,7.5,180,25,,3.1,0.3,0.3,152,38,205,87.1,5.22
43.7,7.5,365,25,,3.1,0.3,0.3,152,38,205,88.1,5.23
43.7,7.5,3,25,,3.1,0.32,0.457,152,39,208,44,3.16
43.7,7.5,7,25,,3.1,0.32,0.457,152,39,208,56.1,3.54
43.7,7.5,28,25,,3.1,0.32,0.457,152,39,208,70.7,4.32
43.7,7.5,60,25,,3.1,0.32,0.457,152,39,208,78.7,4.76
43.7,7.5,90,25,,3.1,0.32,0.457,152,39,208,82.5,4.96
43.7,7.5,120,25,,3.1,0.32,0.457,152,39,208,85.7,5.11
43.7,7.5,180,25,,3.1,0.32,0.457,152,39,208,88.2,5.25
43.7,7.5,365,25,,3.1,0.32,0.457,152,39,208,92,5.4
55.8,10.8,7,,4.2,2.8,0.24,0.3,135,34,180,76.7,6
55.8,10.8,28,,4.2,2.8,0.24,0.3,135,34,180,93.5,6.7
55.8,10.8,7,,9.69,2.74,0.24,0.3,135,34,180,84.4,5.8
55.8,10.8,28,,9.69,2.74,0.24,0.3,135,34,180,95.3,6.9
55.8,10.8,7,,4.2,2.8,0.24,0.3,135,34,180,78.1,5.5
55.8,10.8,28,,4.2,2.8,0.24,0.3,135,34,180,90.2,6.2
55.8,10.8,7,,4.2,2.8,0.24,0.3,135,34,180,82.4,5.8
55.8,10.8,28,,4.2,2.8,0.24,0.3,135,34,180,90.6,6.4
55.8,10.8,7,,9.69,2.74,0.24,0.3,135,34,180,83.1,5.9
55.8,10.8,28,,9.69,2.74,0.24,0.3,135,34,180,89.4,6.7
55.2,8.9,28,25,0.8,2.85,0.33,0.47,176,41.7,240,67.3,4.35
55.2,8.9,28,25,0.8,2.85,0.33,0.47,168,38.8,220,67.4,4.38
55.2,8.9,28,25,0.8,2.85,0.33,0.47,160,36.1,190,68,4.48
55.2,8.9,28,25,0.8,2.85,0.33,0.47,153,33.5,30,69.1,4.52
55.2,8.9,28,25,0.8,2.85,0.33,0.47,166,35,203,68,4.42
55.2,8.9,28,25,0.8,2.85,0.33,0.47,160,36,190,68,4.48
55.2,8.9,28,25,0.8,2.85,0.33,0.47,155,37,130,69.3,4.5
55.2,8.9,28,25,0.8,2.85,0.33,0.47,149,38,60,73.5,4.55
55.2,8.9,28,25,0.8,2.85,0.33,0.47,144,39,25,68.8,4.32
55.2,8.9,28,25,0.8,2.85,0.33,0.47,153,33.5,140,69.1,4.52
55.2,8.9,28,25,0.8,2.85,0.33,0.47,147,34.5,130,69.2,4.53
55.2,8.9,28,25,0.8,2.85,0.33,0.47,145,35,115,70.8,4.55
55.2,8.9,28,25,0.8,2.85,0.33,0.47,142,35.5,105,71.9,4.58
55.2,8.9,28,25,0.8,2.85,0.33,0.47,139,36,85,70.3,4.43
55.2,8.9,28,25,0.8,2.85,0.45,0.47,173,38,260,46.3,3.25
55.2,8.9,28,25,0.8,2.85,0.4,0.47,164,38,240,55,3.56
